# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  249,20100919,  135
  249,20100920,  156
  249,20100921,  143
  249,20100922,  157
  249,20100923,  160
  249,20100924,  148
  249,20100925,  109
  249,20100926,   95
  249,20100927,  122
  249,20100928,  120
  249,20100929,   99
  249,20100930,  103
  249,20101001,  124
  249,20101002,  154
  249,20101003,  177
  249,20101004,  174
  249,20101005,  163
  249,20101006,  154
  249,20101007,  132
  249,20101008,  145
  249,20101009,  132
  249,20101010,  111
  249,20101011,   93
  249,20101012,   89
  249,20101013,   99
  249,20101014,  108
  249,20101015,  100
  249,20101016,   76
  249,20101017,   45
  249,20101018,   84
  249,20101019,   89
  249,20101020,   62
  249,20101021,   90
  249,20101022,  109
  249,20101023,   79
  249,20101024,   76
  249,20101025,   62
  249,20101026,   70
  249,20101027,   96
  249,20101028,  119
  249,20101029,  101
  249,20101030,  111
  249,20101031,   91
  249,20101101,   82
  249,20101102,  112
  249,20101103,  124
  249,20101104,  145
  249,20101105,  129
  249,20101106,   86
  249,20101107,   59
  249,20101108,   55
  249,20101109,   46
  249,20101110,   51
  249,20101111,   68
  249,20101112,  111
  249,20101113,   95
  249,20101114,  101
  249,20101115,   57
  249,20101116,   46
  249,20101117,   48
  249,20101118,   50
  249,20101119,   59
  249,20101120,   52
  249,20101121,   50
  249,20101122,   38
  249,20101123,   37
  249,20101124,   22
  249,20101125,   15
  249,20101126,   -1
  249,20101127,    7
  249,20101128,  -16
  249,20101129,  -17
  249,20101130,  -17
  249,20101201,  -57
  249,20101202,  -58
  249,20101203,  -37
  249,20101204,  -15
  249,20101205,   24
  249,20101206,   -9
  249,20101207,  -30
  249,20101208,  -22
  249,20101209,   30
  249,20101210,   40
  249,20101211,   73
  249,20101212,   26
  249,20101213,   -6
  249,20101214,  -26
  249,20101215,   14
  249,20101216,   15
  249,20101217,  -17
  249,20101218,  -32
  249,20101219,  -53
  249,20101220,  -62
  249,20101221,  -47
  249,20101222,  -23
  249,20101223,    0
  249,20101224,   -9
  249,20101225,  -19
  249,20101226,    8
  249,20101227,    3
  249,20101228,    0
  249,20101229,   -8
  249,20101230,   -4
  249,20101231,   37
  249,20110101,   36
  270,20100101,  -19
  270,20100102,  -34
  270,20100103,  -41
  270,20100104,  -11
  270,20100105,   -2
  270,20100106,  -31
  270,20100107,  -36
  270,20100108,  -75
  270,20100109,  -14
  270,20100110,   -1
  270,20100111,   -2
  270,20100112,  -26
  270,20100113,  -34
  270,20100114,   -4
  270,20100115,   10
  270,20100116,    4
  270,20100117,   14
  270,20100118,   26
  270,20100119,   19
  270,20100120,    4
  270,20100121,   -4
  270,20100122,  -17
  270,20100123,  -21
  270,20100124,  -33
  270,20100125,  -62
  270,20100126,  -92
  270,20100127,  -11
  270,20100128,   18
  270,20100129,    2
  270,20100130,   -7
  270,20100131,   14
  270,20100201,   -3
  270,20100202,   19
  270,20100203,   16
  270,20100204,   34
  270,20100205,   33
  270,20100206,   15
  270,20100207,  -11
  270,20100208,  -55
  270,20100209,  -37
  270,20100210,  -23
  270,20100211,  -25
  270,20100212,  -29
  270,20100213,  -17
  270,20100214,  -22
  270,20100215,  -46
  270,20100216,  -11
  270,20100217,  -15
  270,20100218,   12
  270,20100219,   27
  270,20100220,   10
  270,20100221,   -4
  270,20100222,   18
  270,20100223,    8
  270,20100224,   30
  270,20100225,   61
  270,20100226,   63
  270,20100227,   54
  270,20100228,   48
  270,20100301,   35
  270,20100302,   31
  270,20100303,   21
  270,20100304,    9
  270,20100305,   20
  270,20100306,   -6
  270,20100307,  -13
  270,20100308,   13
  270,20100309,    0
  270,20100310,    4
  270,20100311,   28
  270,20100312,   40
  270,20100313,   48
  270,20100314,   50
  270,20100315,   46
  270,20100316,   39
  270,20100317,   65
  270,20100318,   92
  270,20100319,  104
  270,20100320,  115
  270,20100321,   70
  270,20100322,   70
  270,20100323,   82
  270,20100324,  126
  270,20100325,  144
  270,20100326,   96
  270,20100327,   76
  270,20100328,   69
  270,20100329,   84
  270,20100330,  101
  270,20100331,   66
  270,20100401,   47
  270,20100402,   82
  270,20100403,   74
  270,20100404,   69
  270,20100405,   75
  270,20100406,  103
  270,20100407,  120
  270,20100408,   84
  270,20100409,   86
  270,20100410,   53
  270,20100411,   59
  270,20100412,   79
  270,20100413,   75
  270,20100414,   76
  270,20100415,   75
  270,20100416,   62
  270,20100417,   65
  270,20100418,   78
  270,20100419,   62
  270,20100420,   69
  270,20100421,   60
  270,20100422,   44
  270,20100423,   68
  270,20100424,  102
  270,20100425,  141
  270,20100426,  110
  270,20100427,  110
  270,20100428,  146
  270,20100429,  157
  270,20100430,  113
  270,20100501,  100
  270,20100502,   71
  270,20100503,   67
  270,20100504,   70
  270,20100505,   77
  270,20100506,   76
  270,20100507,   71
  270,20100508,   78
  270,20100509,   78
  270,20100510,   66
  270,20100511,   69
  270,20100512,   63
  270,20100513,   76
  270,20100514,   76
  270,20100515,   91
  270,20100516,  105
  270,20100517,   92
  270,20100518,   94
  270,20100519,  106
  270,20100520,  126
  270,20100521,  119
  270,20100522,  105
  270,20100523,  146
  270,20100524,  137
  270,20100525,   99
  270,20100526,   88
  270,20100527,  103
  270,20100528,  100
  270,20100529,  137
  270,20100530,  123
  270,20100531,  120
